Ville 13, nom='Mohamedia, population=208612, region='Casablanca-Settat
Ville 1, nom='Casablanca, population=3359818, region='Casablanca-Settat
Ville 6, nom='Meknès, population=632079, region='Fés-Meknès
Ville 2, nom='Fés, population=1112072, region='Fés-Meknès
Ville 12, nom='Safi, population=308508, region='Marrakesh-Safi
Ville 4, nom='Marrakesh, population=928850, region='Marrakesh-Safi
Ville 8, nom='Oujda, population=494254, region='Oriental
Ville 9, nom='Kénitra, population=431282, region='Rabat-Salé-Kénitra
Ville 7, nom='Rabat, population=1890403, region='Rabat-Salé-Kénitra
Ville 5, nom='Salé, population=2890403, region='Rabat-Salé-Kénitra
Ville 10, nom='Agadir, population=421844, region='Souss-Massa
Ville 11, nom='Tetouan, population=380787, region='Tanger-Tetouan-Hoceima
Ville 3, nom='Tanger, population=947952, region='Tanger-Tetouan-Hoceima
Ville 13, nom='Mohamedia, population=208612, region='Casablanca-Settat
Ville 1, nom='Casablanca, population=3359818, region='Casablanca-Settat
Ville 6, nom='Meknès, population=632079, region='Fés-Meknès
Ville 2, nom='Fés, population=1112072, region='Fés-Meknès
Ville 12, nom='Safi, population=308508, region='Marrakesh-Safi
Ville 4, nom='Marrakesh, population=928850, region='Marrakesh-Safi
Ville 8, nom='Oujda, population=494254, region='Oriental
Ville 9, nom='Kénitra, population=431282, region='Rabat-Salé-Kénitra
Ville 7, nom='Rabat, population=1890403, region='Rabat-Salé-Kénitra
Ville 5, nom='Salé, population=2890403, region='Rabat-Salé-Kénitra
Ville 10, nom='Agadir, population=421844, region='Souss-Massa
Ville 11, nom='Tetouan, population=380787, region='Tanger-Tetouan-Hoceima
Ville 3, nom='Tanger, population=947952, region='Tanger-Tetouan-Hoceima
Ville 13, nom='Mohamedia, population=208612, region='Casablanca-Settat
Ville 1, nom='Casablanca, population=3359818, region='Casablanca-Settat
Ville 6, nom='Meknès, population=632079, region='Fés-Meknès
Ville 2, nom='Fés, population=1112072, region='Fés-Meknès
Ville 12, nom='Safi, population=308508, region='Marrakesh-Safi
Ville 4, nom='Marrakesh, population=928850, region='Marrakesh-Safi
Ville 8, nom='Oujda, population=494254, region='Oriental
Ville 9, nom='Kénitra, population=431282, region='Rabat-Salé-Kénitra
Ville 7, nom='Rabat, population=1890403, region='Rabat-Salé-Kénitra
Ville 5, nom='Salé, population=2890403, region='Rabat-Salé-Kénitra
Ville 10, nom='Agadir, population=421844, region='Souss-Massa
Ville 11, nom='Tetouan, population=380787, region='Tanger-Tetouan-Hoceima
Ville 3, nom='Tanger, population=947952, region='Tanger-Tetouan-Hoceima
Ville 13, nom='Mohamedia, population=208612, region='Casablanca-Settat
Ville 1, nom='Casablanca, population=3359818, region='Casablanca-Settat
Ville 6, nom='Meknès, population=632079, region='Fés-Meknès
Ville 2, nom='Fés, population=1112072, region='Fés-Meknès
Ville 12, nom='Safi, population=308508, region='Marrakesh-Safi
Ville 4, nom='Marrakesh, population=928850, region='Marrakesh-Safi
Ville 8, nom='Oujda, population=494254, region='Oriental
Ville 9, nom='Kénitra, population=431282, region='Rabat-Salé-Kénitra
Ville 7, nom='Rabat, population=1890403, region='Rabat-Salé-Kénitra
Ville 5, nom='Salé, population=2890403, region='Rabat-Salé-Kénitra
Ville 10, nom='Agadir, population=421844, region='Souss-Massa
Ville 11, nom='Tetouan, population=380787, region='Tanger-Tetouan-Hoceima
Ville 3, nom='Tanger, population=947952, region='Tanger-Tetouan-Hoceima
Ville 13, nom='Mohamedia, population=208612, region='Casablanca-Settat
Ville 1, nom='Casablanca, population=3359818, region='Casablanca-Settat
Ville 6, nom='Meknès, population=632079, region='Fés-Meknès
Ville 2, nom='Fés, population=1112072, region='Fés-Meknès
Ville 12, nom='Safi, population=308508, region='Marrakesh-Safi
Ville 4, nom='Marrakesh, population=928850, region='Marrakesh-Safi
Ville 8, nom='Oujda, population=494254, region='Oriental
Ville 9, nom='Kénitra, population=431282, region='Rabat-Salé-Kénitra
Ville 7, nom='Rabat, population=1890403, region='Rabat-Salé-Kénitra
Ville 5, nom='Salé, population=2890403, region='Rabat-Salé-Kénitra
Ville 10, nom='Agadir, population=421844, region='Souss-Massa
Ville 11, nom='Tetouan, population=380787, region='Tanger-Tetouan-Hoceima
Ville 3, nom='Tanger, population=947952, region='Tanger-Tetouan-Hoceima
Ville 13, nom='Mohamedia, population=208612, region='Casablanca-Settat
Ville 1, nom='Casablanca, population=3359818, region='Casablanca-Settat
